bafkreihdwdcefgh4dqkjv67uzcmw7ojee6xedzdetojuzjevtenxquvyku | 4VY1sGXD5A.txt-parity-shard-1 | PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWAmFjtVRQj3UDLhA1mrCmyZqjpFKrrw1uC298sqbP3PR2] | Recursive | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:56:42
bafyreiaegosiob2mvli5lhjvmyztw2mq5k2nul3hnkekf7qdt3nc6xbidu | v241zqgJnt.txt-shard-1 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWF7smC2y7D2GZSWJGGH1w7bQhJc8Bobxux5V2Vs9G2UiA] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:55:44
bafyreiafy7zxk7tbz5sxt772vgio4cdpisunx6ru3cugwfh3rely7v2fvu | FllCZHpQll.txt-shard-2 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWAmFjtVRQj3UDLhA1mrCmyZqjpFKrrw1uC298sqbP3PR2] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:55:55
bafyreiay6vg3vdok3itmvgah6yuqppmlqa6xqaiqwbcslcgysv7nkwmuny | v241zqgJnt.txt-shard-2 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWG1KVsGXDurD1hwtuUGNNV6HVRmo12TJ2yytMHYuV2hX5] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:55:44
bafyreib6in63oidgwpxxpcvtby7hbsvpmoa2cq2uxuipljrfvqkdf5jjvm | v241zqgJnt.txt-clusterDAG | CLUSTERDAG-PIN-DIRECT | Repl. Factor: -1 | Allocations: [everywhere] | Direct | Metadata: yes | Exp: ∞ | Added: 2024-04-30 04:55:44
bafyreibk2vaueeowl5wgg5uaavrtscfdeg67l266mfr7uontji2dsbqry4 | aBeQmKGfKp.txt-shard-0 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWAmFjtVRQj3UDLhA1mrCmyZqjpFKrrw1uC298sqbP3PR2] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:05:48
bafyreibl73modhavyptlg7pnibl533ahdqku4rybr5hdz527lm24mms4xq | FllCZHpQll.txt-shard-1 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWMkSDDsVTwxJ6u5ihiGKJFTDNngisMCFAKKeEv6msPKcd] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:55:55
bafyreic24asvyonivn4yergijd2nik43dvlfke6gqezcct4fg6gx5mmkxe | fEtpYjB8HK.txt-shard-1 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWF7smC2y7D2GZSWJGGH1w7bQhJc8Bobxux5V2Vs9G2UiA] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:36:28
bafyreic6uzb2yyygxjs2yhapzemmdkotc3oyjnbwrjoo7dltpfz4shlbvq | tD5dbV6uwN.txt-clusterDAG | CLUSTERDAG-PIN-DIRECT | Repl. Factor: -1 | Allocations: [everywhere] | Direct | Metadata: yes | Exp: ∞ | Added: 2024-04-30 05:03:40
bafyreicfrrjydnrsxvuafm7kaiyyriyxiald2pztsye7y6vzamxgpuxvtu | aBeQmKGfKp.txt-shard-2 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWMkSDDsVTwxJ6u5ihiGKJFTDNngisMCFAKKeEv6msPKcd] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:06:02
bafyreici43sm55yojisgglz27pdn24nper7hgd67nolkv7oan2pup5qbfa | FllCZHpQll.txt-shard-0 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWG1KVsGXDurD1hwtuUGNNV6HVRmo12TJ2yytMHYuV2hX5] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:55:55
bafyreicmbgoy24dlguiw4qobbhpxwpcc4v3q5lodheevflty5i77k4fzxa | Yz6Uamd7Kq.txt-shard-0 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWMkSDDsVTwxJ6u5ihiGKJFTDNngisMCFAKKeEv6msPKcd] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:55:23
bafyreid2szgcnvz6fs2qhekugrqxhpv2p4aujj2bk6o47adfroqcmjbsp4 | sowsJwWkbe.txt-shard-0 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWF7smC2y7D2GZSWJGGH1w7bQhJc8Bobxux5V2Vs9G2UiA] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:03:51
bafyreid5wtwbspb4qgkj6723u2tnmjfqyv2gzipx5akk6qzou4jl67xv6y | fEtpYjB8HK.txt-shard-2 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWF7smC2y7D2GZSWJGGH1w7bQhJc8Bobxux5V2Vs9G2UiA] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:38:06
